Date,Close,Shares_Outstanding,Market_Cap
2023-01-03,64.0199966430664,1631250048.0,104432622596.96191
2023-01-04,64.66000366210938,1631250048.0,105476634077.4961
2023-01-05,62.33000183105469,1631250048.0,101675818478.74805
2023-01-06,63.959999084472656,1612359936.0,103126540030.40039
2023-01-09,67.23999786376953,1612359936.0,108415078652.26758
2023-01-10,68.05000305175781,1612359936.0,109721098565.33203
2023-01-11,69.05999755859375,1612359936.0,111349573243.73438
2023-01-12,70.80000305175781,1612359936.0,114155088389.33203
2023-01-13,71.0,1612359936.0,114477555456.0
2023-01-17,71.58999633789062,1612359936.0,115428841913.60156
2023-01-18,70.52999877929688,1612359936.0,113719744317.86719
2023-01-19,67.70999908447266,1612359936.0,109172889790.40039
2023-01-20,70.06999969482422,1612359936.0,112978060223.4668
2023-01-23,76.52999877929688,1612359936.0,123393903933.86719
2023-01-24,74.69999694824219,1612359936.0,120443282298.66797
2023-01-25,74.91000366210938,1612359936.0,120781888710.39844
2023-01-26,75.16000366210938,1612359936.0,121184978694.39844
2023-01-27,75.4000015258789,1612359936.0,121571941634.66602
2023-01-30,72.44999694824219,1612359936.0,116815472442.66797
2023-01-31,75.1500015258789,1612359936.0,121168851650.66602
2023-02-01,84.63999938964844,1612359936.0,136470143998.9336
2023-02-02,88.30999755859375,1612359936.0,142387502011.73438
2023-02-03,86.08999633789062,1612359936.0,138808060985.60156
2023-02-06,83.68000030517578,1612359936.0,134922279936.5332
2023-02-07,85.91000366210938,1612359936.0,138517848006.39844
2023-02-08,84.69000244140625,1612359936.0,136550766916.26562
2023-02-09,83.20999908447266,1612359936.0,134164468798.40039
2023-02-10,81.4800033569336,1612359936.0,131375092997.86523
2023-02-13,83.12999725341797,1612359936.0,134035477051.20117
2023-02-14,85.94999694824219,1612359936.0,138582331578.66797
2023-02-15,85.18000030517578,1612359936.0,137340819840.5332
2023-02-16,80.08000183105469,1612359936.0,129117786627.19922
2023-02-17,78.5,1612359936.0,126570254976.0
2023-02-21,76.7699966430664,1612359936.0,123780866874.13477
2023-02-22,76.61000061035156,1612359936.0,123522895681.0664
2023-02-23,79.75,1612359936.0,128585704896.0
2023-02-24,78.08999633789062,1612359936.0,125909181497.60156
2023-02-27,78.7699966430664,1612359936.0,127005586746.13477
2023-02-28,78.58000183105469,1612359936.0,126699246723.19922
2023-03-01,78.29000091552734,1612359936.0,126231660865.59961
2023-03-02,80.44000244140625,1611389952.0,129620211672.9375
2023-03-03,81.5199966430664,1611389952.0,131360503477.71094
2023-03-06,81.16000366210938,1611389952.0,130780414405.40625
2023-03-07,82.11000061035156,1611389952.0,132311229942.23438
2023-03-08,85.37000274658203,1611389952.0,137564364628.0547
2023-03-09,84.02999877929688,1611389952.0,135405095699.53125
2023-03-10,82.66999816894531,1611389952.0,133213604381.29688
2023-03-13,82.01000213623047,1611389952.0,132150093405.82031
2023-03-14,87.44999694824219,1611389952.0,140916046384.82812
2023-03-15,89.68000030517578,1611389952.0,144509451387.1172
2023-03-16,96.5999984741211,1611389952.0,155660266904.41406
2023-03-17,97.83999633789062,1611389952.0,157658387002.59375
2023-03-20,96.80999755859375,1611389952.0,155998657319.0625
2023-03-21,95.93000030517578,1611389952.0,154580638587.1172
2023-03-22,97.58000183105469,1611389952.0,157239434466.70312
2023-03-23,100.27999877929688,1611389952.0,161590182419.53125
2023-03-24,97.94999694824219,1611389952.0,157835640880.82812
2023-03-27,96.61000061035156,1649720064.0,159379456389.94922
2023-03-28,94.55999755859375,1649720064.0,155997525224.20312
2023-03-29,96.08999633789062,1649720064.0,158521594908.3047
2023-03-30,97.87999725341797,1637459968.0,160274577170.42188
2023-03-31,98.01000213623047,1637459968.0,160487454961.67188
2023-04-03,96.55999755859375,1611389952.0,155595809831.0625
2023-04-04,95.87000274658203,1635590016.0,156804019326.20215
2023-04-05,92.55999755859375,1611389952.0,149150250023.0625
2023-04-06,92.47000122070312,1666960000.0,154143793234.86328
2023-04-10,95.4800033569336,1611389952.0,153855518026.28906
2023-04-11,94.02999877929688,1611389952.0,151518995219.53125
2023-04-12,92.33000183105469,1611389952.0,148779637218.70312
2023-04-13,92.08999633789062,1611389952.0,148392894778.59375
2023-04-14,91.75,1611389952.0,147845028096.0
2023-04-17,89.87000274658203,1611389952.0,144815619412.0547
2023-04-18,89.77999877929688,1611389952.0,144670587923.53125
2023-04-19,89.94000244140625,1611389952.0,144928416216.9375
2023-04-20,90.11000061035156,1611389952.0,145202349558.23438
2023-04-21,88.43000030517578,1611389952.0,142495213947.1172
2023-04-24,87.56999969482422,1611389952.0,141109417604.8828
2023-04-25,83.80000305175781,1611389952.0,135034482895.17188
2023-04-26,85.94000244140625,1611389952.0,138482856408.9375
2023-04-27,87.44000244140625,1611389952.0,140899941336.9375
2023-04-28,89.37000274658203,1611389952.0,144009924436.0547
2023-05-01,89.69000244140625,1611389952.0,144525568728.9375
2023-05-02,89.91000366210938,1611389952.0,144880076485.40625
2023-05-03,81.62000274658203,1611389952.0,131521652308.05469
2023-05-04,86.61000061035156,1772870016.0,153548273167.83398
2023-05-05,89.83999633789062,1772870016.0,159274635744.9961
2023-05-08,95.04000091552734,1610360064.0,153048621956.88867
2023-05-09,95.05999755859375,1610360064.0,153080823752.29688
2023-05-10,97.0199966430664,1610360064.0,156237128003.4082
2023-05-11,97.0999984741211,1610360064.0,156365959757.18555
2023-05-12,95.26000213623047,1610360064.0,153402903136.74023
2023-05-15,97.4000015258789,1640109952.0,159746711827.40918
2023-05-16,101.4800033569336,1610360064.0,163419344700.5918
2023-05-17,103.75,1610360064.0,167074856640.0
2023-05-18,107.93000030517578,1610360064.0,173806162198.9629
2023-05-19,105.81999969482422,1610360064.0,170408301481.0371
2023-05-22,108.0,1610360064.0,173918886912.0
2023-05-23,108.12000274658203,1610360064.0,174112134542.66602
2023-05-24,108.2699966430664,1610360064.0,174353678723.4082
2023-05-25,120.3499984741211,1610360064.0,193806831245.18555
2023-05-26,127.02999877929688,1610360064.0,204564036964.14844
2023-05-30,125.2699966430664,1610360064.0,201729799811.4082
2023-05-31,118.20999908447266,1610360064.0,190360661691.11133
2023-06-01,119.47000122070312,1610360064.0,192389718811.85156
2023-06-02,117.86000061035156,1610360064.0,189797038125.92578
2023-06-05,117.93000030517578,1610360064.0,189909762838.9629
2023-06-06,124.2300033569336,1610360064.0,200055036156.5918
2023-06-07,117.83000183105469,1610360064.0,189748729289.77734
2023-06-08,121.05000305175781,1610360064.0,194934090661.6289
2023-06-09,124.91999816894531,1610360064.0,201166176246.22266
2023-06-12,129.19000244140625,1610360064.0,208042420599.70312
2023-06-13,124.52999877929688,1610360064.0,200538136804.14844
2023-06-14,127.33000183105469,1610360064.0,205047149897.77734
2023-06-15,124.23999786376953,1610360064.0,200071130911.25977
2023-06-16,120.08000183105469,1610360064.0,193372039433.77734
2023-06-20,118.93000030517578,1610360064.0,191520122902.9629
2023-06-21,112.11000061035156,1610360064.0,180537467757.92578
2023-06-22,110.69999694824219,1610360064.0,178266854170.3711
2023-06-23,110.01000213623047,1708329984.0,187933385189.22656
2023-06-26,107.51000213623047,1610360064.0,173129813920.74023
2023-06-27,110.38999938964844,1610360064.0,177767646482.07422
2023-06-28,110.16999816894531,1610360064.0,177413365302.22266
2023-06-29,111.23999786376953,1610360064.0,179136450079.25977
2023-06-30,113.91000366210938,1610360064.0,183436120787.5547
2023-07-03,115.81999969482422,1610360064.0,186511902121.0371
2023-07-05,113.94999694824219,1610360064.0,183500524378.3711
2023-07-06,113.4800033569336,1610360064.0,182743665468.5918
2023-07-07,113.16999816894531,1610360064.0,182244445494.22266
2023-07-10,113.58000183105469,1610360064.0,182904699017.77734
2023-07-11,111.31999969482422,1610360064.0,179265281833.0371
2023-07-12,114.58000183105469,1610360064.0,184515059081.77734
2023-07-13,115.91999816894531,1610360064.0,186672935670.22266
2023-07-14,115.94000244140625,1610360064.0,186705149751.70312
2023-07-17,118.31999969482422,1610360064.0,190537802281.0371
2023-07-18,117.93000030517578,1610360064.0,189909762838.9629
2023-07-19,116.43000030517578,1610360064.0,187494222742.9629
2023-07-20,110.25,1610360064.0,177542197056.0
2023-07-21,110.94999694824219,1610360064.0,178669444186.3711
2023-07-24,110.61000061035156,1610360064.0,178121927661.92578
2023-07-25,113.0,1610360064.0,181970687232.0
2023-07-26,110.08999633789062,1610360064.0,177284533548.4453
2023-07-27,111.0999984741211,1610360064.0,178911000653.18555
2023-07-28,112.95999908447266,1610360064.0,181906271355.11133
2023-07-31,114.4000015258789,1610360064.0,184225193778.81445
2023-08-01,117.5999984741211,1610360064.0,189378341069.18555
2023-08-02,109.3499984741211,1610360064.0,176092870541.18555
2023-08-03,113.1500015258789,1610360064.0,182212243698.81445
2023-08-04,115.81999969482422,1610360064.0,186511902121.0371
2023-08-07,116.80999755859375,1610360064.0,188106155144.29688
2023-08-08,113.2300033569336,1610360064.0,182341075452.5918
2023-08-09,110.47000122070312,1610360064.0,177896478235.85156
