Date,Close,Shares_Outstanding,Market_Cap
2023-01-03,123.87469482421875,2622200064.0,324824232696.0469
2023-01-04,126.4864501953125,2622200064.0,331672777797.28125
2023-01-05,126.05943298339844,2622200064.0,330553053236.8711
2023-01-06,129.11807250976562,2622200064.0,338573417998.66406
2023-01-09,128.5718994140625,2622200064.0,337141242872.15625
2023-01-10,132.06747436523438,2622200064.0,346307339732.83594
2023-01-11,131.96817016601562,2622200064.0,346046944255.28906
2023-01-12,135.7616729736328,2622200064.0,355994267560.20703
2023-01-13,136.02976989746094,2622200064.0,356697271331.02734
2023-01-17,134.4210205078125,2622200064.0,352478808578.53125
2023-01-18,132.09727478027344,2622200064.0,346385482383.0586
2023-01-19,135.20555114746094,2622200064.0,354536004872.02734
2023-01-20,138.4031982421875,2622200064.0,362920875288.46875
2023-01-23,142.27615356445312,2622200064.0,373076538982.3828
2023-01-24,142.1470489501953,2622200064.0,372738000854.6133
2023-01-25,140.5184326171875,2622200064.0,368467443001.96875
2023-01-26,146.27818298339844,2622200064.0,383570660780.8711
2023-01-27,150.68740844726562,2622200064.0,395132532074.41406
2023-01-30,146.0398712158203,2622200064.0,382945759648.6758
2023-01-31,147.93661499023438,2622200064.0,387919401295.33594
2023-02-01,152.0578155517578,2622200064.0,398726013671.51953
2023-02-02,187.4605255126953,2622200064.0,491559001996.8633
2023-02-03,185.236083984375,2622200064.0,485726071278.9375
2023-02-06,184.7693328857422,2592640000.0,479040363212.8906
2023-02-07,190.29074096679688,2592640000.0,493355386660.15625
2023-02-08,182.1575469970703,2592640000.0,472268942646.4844
2023-02-09,176.68580627441406,2592640000.0,458082688779.2969
2023-02-10,172.94195556640625,2592640000.0,448376231679.6875
2023-02-13,178.18531799316406,2592640000.0,461970382841.7969
2023-02-14,178.23497009277344,2592640000.0,462099112861.3281
2023-02-15,175.9310760498047,2592640000.0,456125945009.7656
2023-02-16,171.24380493164062,2592640000.0,443973538417.96875
2023-02-17,171.68075561523438,2592640000.0,445106394238.28125
2023-02-21,170.88629150390625,2592640000.0,443046634804.6875
2023-02-22,169.93296813964844,2592640000.0,440575010517.5781
2023-02-23,170.84658813476562,2592640000.0,442943698261.71875
2023-02-24,169.2080078125,2592640000.0,438695449375.0
2023-02-27,168.36390686035156,2592640000.0,436506999482.4219
2023-02-28,173.72647094726562,2592640000.0,450410197636.71875
2023-03-01,172.21701049804688,2592640000.0,446496710097.65625
2023-03-02,173.31930541992188,2592640000.0,449354564003.90625
2023-03-03,183.96493530273438,2592640000.0,476954849863.28125
2023-03-06,183.61737060546875,2592640000.0,476053739726.5625
2023-03-07,183.2300567626953,2592640000.0,475049574365.2344
2023-03-08,183.6868896484375,2592640000.0,476233977578.125
2023-03-09,180.4296417236328,2592640000.0,467789106318.3594
2023-03-10,178.26475524902344,2592640000.0,462176335048.8281
2023-03-13,179.64512634277344,2592640000.0,465755140361.3281
2023-03-14,192.6741180419922,2592640000.0,499534625400.3906
2023-03-15,196.3782196044922,2592640000.0,509138027275.3906
2023-03-16,203.5084228515625,2592640000.0,527624077421.875
2023-03-17,194.25308227539062,2592640000.0,503628311230.46875
2023-03-20,196.4378204345703,2716169984.0,533558511586.7617
2023-03-21,200.7576446533203,2592640000.0,520492299833.9844
2023-03-22,198.42393493652344,2592640000.0,514441830673.8281
2023-03-23,202.86293029785156,2592640000.0,525950547607.4219
2023-03-24,204.58094787597656,2592640000.0,530404748701.1719
2023-03-27,201.43292236328125,2570870016.0,517857860339.0156
2023-03-28,199.2878875732422,2570870016.0,512343254714.02734
2023-03-29,203.92550659179688,2570870016.0,524265970394.46094
2023-03-30,206.39825439453125,2652969984.0,547568373658.6875
2023-03-31,210.4698028564453,2652969984.0,558370069516.5469
2023-04-03,211.59197998046875,2592640000.0,548581830976.5625
2023-04-04,213.2305145263672,2579500032.0,550028119044.1406
2023-04-05,210.0129852294922,2612720128.0,548705153650.46094
2023-04-06,214.60096740722656,2632359936.0,564906988829.625
2023-04-10,213.2602996826172,2576079872.0,549375565509.0781
2023-04-11,212.36656188964844,2576079872.0,547073225569.7656
2023-04-12,212.5155029296875,2576079872.0,547456909585.125
2023-04-13,218.8214569091797,2576079872.0,563701550705.4531
2023-04-14,219.95355224609375,2576079872.0,566617918716.0625
