Date,Close,Shares_Outstanding,Market_Cap
2023-01-03,233.98565673828125,7461940224.0,1745986983854.4375
2023-01-04,223.7503662109375,7461940224.0,1669611857764.125
2023-01-05,217.118896484375,7461940224.0,1620128227067.25
2023-01-06,219.67774963378906,7454470144.0,1637581225946.1875
2023-01-09,221.81658935546875,7454470144.0,1653525142794.25
2023-01-10,223.50619506835938,7454470144.0,1666120258136.125
2023-01-11,230.26461791992188,7454470144.0,1716500719503.625
2023-01-12,232.94061279296875,7454470144.0,1736448843390.25
2023-01-13,233.64381408691406,7454470144.0,1741690836441.1875
2023-01-17,234.73765563964844,7454470144.0,1749844845638.3125
2023-01-18,230.30368041992188,7454470144.0,1716791909743.625
2023-01-19,226.51425170898438,7454470144.0,1688543726555.125
2023-01-20,234.61070251464844,7454470144.0,1748898477358.3125
2023-01-23,236.91558837890625,7454470144.0,1766080180218.75
2023-01-24,236.38818359375,7454470144.0,1762148656994.0
2023-01-25,234.99159240722656,7454470144.0,1751737809690.6875
2023-01-26,242.2090301513672,7454470144.0,1805539983870.5625
2023-01-27,242.3652801513672,7443800064.0,1804118687902.125
2023-01-30,237.04257202148438,7443800064.0,1764497512784.25
2023-01-31,242.0234832763672,7443800064.0,1801574420302.125
2023-02-01,246.84811401367188,7443800064.0,1837488006893.25
2023-02-02,258.42138671875,7443800064.0,1923637134996.0
2023-02-03,252.31736755371094,7443800064.0,1878200036744.625
2023-02-06,250.77423095703125,7443800064.0,1866713236447.5
2023-02-07,261.312255859375,7443800064.0,1945156186890.0
2023-02-08,260.5016784667969,7443800064.0,1939122410843.25
2023-02-09,257.4642028808594,7443800064.0,1916512049882.25
2023-02-10,256.9565124511719,7443800064.0,1912732903829.25
2023-02-13,264.9844970703125,7443800064.0,1972491616251.0
2023-02-14,265.81463623046875,7443800064.0,1978671006184.5
2023-02-15,263.69000244140625,7443800064.0,1962855657049.5
2023-02-16,256.6698913574219,7443800064.0,1910599353713.25
2023-02-17,252.6654052734375,7443800064.0,1880790759945.0
2023-02-21,247.38807678222656,7443800064.0,1841507381784.375
2023-02-22,246.25230407714844,7443800064.0,1833052916849.625
2023-02-23,249.44418334960938,7443800064.0,1856812627982.25
