Date,Close,Shares_Outstanding,Market_Cap
2023-01-03,14.300683975219727,2470000128.0,35322691249.28027
2023-01-04,14.734249114990234,2470000128.0,36393597200.009766
2023-01-05,14.250734329223633,2470000128.0,35199315617.27637
2023-01-06,14.844141006469727,2470000128.0,36665030186.03027
2023-01-09,15.612371444702148,2470000128.0,38562559466.79785
2023-01-10,15.89309024810791,2470000128.0,39255934947.14209
2023-01-11,15.984997749328613,2470000128.0,39482946486.92139
2023-01-12,16.494483947753906,2470000128.0,40741377462.24609
2023-01-13,16.882102966308594,2470000128.0,41698796487.69141
2023-01-17,17.68429946899414,2470000128.0,43680221952.00586
2023-01-18,17.359621047973633,2470000128.0,42878266210.52637
2023-01-19,16.748233795166016,2470000128.0,41368139617.833984
2023-01-20,17.821163177490234,2470000128.0,44018275329.509766
2023-01-23,19.17380714416504,2470000128.0,47359306100.33496
2023-01-24,19.245737075805664,2470000128.0,47536973040.694336
2023-01-25,19.303674697875977,2470000128.0,47680078974.62402
2023-01-26,19.782196044921875,2470000128.0,48862026763.078125
2023-01-27,20.34463119506836,2470000128.0,50251241655.93164
2023-01-30,19.14283561706543,2470000128.0,47282806424.43457
2023-01-31,19.5174617767334,2470000128.0,48208133086.7666
2023-02-01,20.922056198120117,2470000128.0,51677481487.37988
2023-02-02,21.68729019165039,2470000128.0,53567609549.34961
2023-02-03,21.078895568847656,2470000128.0,52064874753.15234
2023-02-06,21.067913055419922,2470000128.0,52037747943.58008
2023-02-07,22.15082550048828,2470000128.0,54712541821.51172
2023-02-08,22.18279266357422,2470000128.0,54791500718.42578
2023-02-09,22.314659118652344,2470000128.0,55117210879.34766
2023-02-10,21.243732452392578,2470000128.0,52472021876.60742
2023-02-13,21.766210556030273,2470000128.0,53762542859.46973
2023-02-14,22.948028564453125,2470000128.0,56681633491.546875
2023-02-15,22.741235733032227,2470000128.0,56170855171.46777
2023-02-16,21.979997634887695,2470000128.0,54290596971.612305
2023-02-17,21.366607666015625,2470000128.0,52775523669.984375
2023-02-21,20.634342193603516,2470000128.0,50966827859.396484
2023-02-22,20.733247756958008,2470000128.0,51211124613.54199
2023-02-23,23.640331268310547,2470000128.0,58391621258.68945
2023-02-24,23.262714385986328,2470000128.0,57458907511.01367
2023-02-27,23.477493286132812,2470000128.0,57989411421.86719
2023-02-28,23.19278335571289,2470000128.0,57286177857.28711
2023-03-01,22.675302505493164,2470000128.0,56008000091.006836
2023-03-02,23.290681838989258,2470000128.0,57527987123.51074
2023-03-03,23.86610984802246,2470000128.0,58949294379.47754
2023-03-06,23.530447006225586,2470000128.0,58120207117.274414
2023-03-07,23.26866340637207,2470000128.0,57473601592.12793
2023-03-08,24.160921096801758,2470000128.0,59677478201.69824
2023-03-09,23.41653823852539,2470000128.0,57838852446.47461
2023-03-10,22.9459285736084,2470000128.0,56676446513.8916
2023-03-13,22.946928024291992,2470000128.0,56678915157.20801
2023-03-14,24.043018341064453,2470000128.0,59386258379.93555
2023-03-15,24.2078800201416,2470000128.0,59793466748.3584
2023-03-16,25.519790649414062,2470000128.0,63033886170.58594
2023-03-17,25.703636169433594,2470000128.0,63487984628.56641
2023-03-20,25.878494262695312,2470000128.0,63919884141.30469
2023-03-21,26.17724609375,2470000128.0,64657801202.25
2023-03-22,26.44602394104004,2470000128.0,65321682519.45996
2023-03-23,27.168418884277344,2470000128.0,67105998121.72266
2023-03-24,26.756763458251953,2470000128.0,66089209166.74805
2023-03-27,26.508968353271484,2470000128.0,65477155225.728516
2023-03-28,26.3880672454834,2470000128.0,65178529474.0166
2023-03-29,26.961591720581055,2470000128.0,66595135000.918945
2023-03-30,27.360260009765625,2470000128.0,67579845726.234375
2023-03-31,27.75393295288086,2470000128.0,68552217946.11914
2023-04-03,27.941776275634766,2470000128.0,69016190977.36523
2023-04-04,27.43020248413086,2470000128.0,67752603646.86914
2023-04-05,26.858678817749023,2470000128.0,66340940117.75098
2023-04-06,27.01454734802246,2470000128.0,66725935407.47754
2023-04-10,27.55609893798828,2470000128.0,68063567904.01172
2023-04-11,27.14643669128418,2470000128.0,67051702102.21582
2023-04-12,26.47300148010254,2470000128.0,65388317044.39746
2023-04-13,26.441024780273438,2470000128.0,65309334591.72656
2023-04-14,26.735776901245117,2470000128.0,66037372368.25488
2023-04-17,26.97957992553711,2470000128.0,66639565869.46289
2023-04-18,27.644023895263672,2470000128.0,68280742559.73633
2023-04-19,27.90781021118164,2470000128.0,68932294793.81836
2023-04-20,27.08149528503418,2470000128.0,66891296820.46582
2023-04-21,27.09648323059082,2470000128.0,66928317047.90918
2023-04-24,27.01954460144043,2470000128.0,66738278624.05957
2023-04-25,26.219205856323242,2470000128.0,64761441821.17676
2023-04-26,26.933618545532227,2470000128.0,66526041254.96777
