Date,Close,Shares_Outstanding,Market_Cap
2023-01-03,80.45586395263672,2738360064.0,220317124762.51758
2023-01-04,81.18621063232422,2738360064.0,222317076943.04883
2023-01-05,81.02284240722656,2738360064.0,221869715919.71484
2023-01-06,82.32020568847656,2738360064.0,225422363717.58984
2023-01-09,83.36198425292969,2738360064.0,228275128534.01953
2023-01-10,83.43916320800781,2738360064.0,228486472302.38672
2023-01-11,85.46485137939453,2738360064.0,234033535893.0293
2023-01-12,85.63848114013672,2738360064.0,234508996695.76758
2023-01-13,86.04363250732422,2738360064.0,235618447019.54883
2023-01-17,85.46485137939453,2738360064.0,234033535893.0293
2023-01-18,83.64173126220703,2738360064.0,229041176572.24805
2023-01-19,82.89898681640625,2738360064.0,227007274844.10938
2023-01-20,84.16263580322266,2738360064.0,230467600764.52148
2023-01-23,85.82176208496094,2738360064.0,235010885915.5664
2023-01-24,86.52593231201172,2738360064.0,236939157543.58008
2023-01-25,86.46805572509766,2738360064.0,236780670609.33398
2023-01-26,86.65133666992188,2738360064.0,237282559829.1328
2023-01-27,85.8410415649414,2738360064.0,235063680073.5996
2023-01-30,84.25908660888672,2738360064.0,230731717798.89258
2023-01-31,85.3298110961914,2738360064.0,233663746974.4746
2023-02-01,86.86353302001953,2738360064.0,237863629839.9668
2023-02-02,86.2172622680664,2738360064.0,236093907822.2871
2023-02-03,86.44876098632812,2738360064.0,236727834667.2422
2023-02-06,85.39732360839844,2738360064.0,233848620541.72266
2023-02-07,84.63529205322266,2738360064.0,231761903763.52148
2023-02-08,83.62244415283203,2738360064.0,228988361522.18555
2023-02-09,83.58386993408203,2738360064.0,228882731422.06055
2023-02-10,84.0565185546875,2738360064.0,230177013529.03125
2023-02-13,86.25582885742188,2738360064.0,236199517030.3828
2023-02-14,85.93753814697266,2738360064.0,235327922460.14648
2023-02-15,85.21405029296875,2738360064.0,233346752213.95312
2023-02-16,84.61599731445312,2738360064.0,231709067821.4297
2023-02-17,84.19155883789062,2738360064.0,230546802447.58594
2023-02-21,83.14978790283203,2738360064.0,227694058523.18555
2023-02-22,83.26553344726562,2738360064.0,228011011499.64844
2023-02-23,85.44557189941406,2738360064.0,233980741734.9961
2023-02-24,85.52273559570312,2738360064.0,234192043719.3047
2023-02-27,84.84749603271484,2738360064.0,232342994666.38477
2023-02-28,84.30731964111328,2738360064.0,230863797208.10742
2023-03-01,83.28482055664062,2738360064.0,228063826549.71094
2023-03-02,83.89253997802734,2738360064.0,229727981143.35352
2023-03-03,86.09186553955078,2738360064.0,235750526428.76367
2023-03-06,86.56449890136719,2738360064.0,237044766751.67578
