Date,Close,Shares_Outstanding,Market_Cap
2023-01-03,6.389999866485596,2101389952.0,13427881512.714172
2023-01-04,6.579999923706055,2101389952.0,13827145723.83667
2023-01-05,6.320000171661377,2101389952.0,13280784857.367493
2023-01-06,6.400000095367432,2101389952.0,13448895893.204163
2023-01-09,6.5,2101389952.0,13659034688.0
2023-01-10,6.699999809265137,2101389952.0,14079312277.591675
2023-01-11,6.980000019073486,2101389952.0,14667701905.040833
2023-01-12,7.010000228881836,2101389952.0,14730744044.48999
2023-01-13,6.960000038146973,2101389952.0,14625674146.081665
2023-01-17,7.070000171661377,2101389952.0,14856827321.367493
2023-01-18,6.900000095367432,2101389952.0,14499590869.204163
2023-01-19,6.730000019073486,2101389952.0,14142354417.040833
2023-01-20,7.019999980926514,2101389952.0,14751757422.959167
2023-01-23,7.380000114440918,2101389952.0,15508258086.244995
2023-01-24,7.019999980926514,2101389952.0,14751757422.959167
2023-01-25,7.21999979019165,2101389952.0,15172035012.550842
2023-01-26,7.239999771118164,2101389952.0,15214062771.51001
2023-01-27,7.550000190734863,2101389952.0,15865494538.408325
2023-01-30,7.369999885559082,2101389952.0,15487243705.755005
2023-01-31,7.78000020980835,2101389952.0,16348814267.449158
2023-02-01,8.199999809265137,2101389952.0,17231397205.591675
2023-02-02,8.989999771118164,2101389952.0,18891495187.51001
2023-02-03,8.40999984741211,2101389952.0,17672689175.67334
2023-02-06,8.3100004196167,2101389952.0,17462551382.898315
2023-02-07,8.329999923706055,2101389952.0,17504578139.83667
2023-02-08,8.220000267028809,2101389952.0,17273425966.571655
2023-02-09,7.949999809265137,2101389952.0,16706049717.591675
2023-02-10,7.510000228881836,2101389952.0,15781439020.48999
2023-02-13,7.610000133514404,2101389952.0,15991577815.285828
2023-02-14,9.220000267028809,2101389952.0,19374815918.571655
2023-02-15,10.109999656677246,2101389952.0,21245051693.265015
2023-02-16,9.710000038146973,2101389952.0,20404496514.081665
2023-02-17,9.199999809265137,2101389952.0,19332787157.591675
2023-02-21,8.470000267028809,2101389952.0,17798773454.571655
2023-02-22,8.359999656677246,2101389952.0,17567619277.265015
2023-02-23,8.170000076293945,2101389952.0,17168356068.16333
2023-02-24,8.09000015258789,2150259968.0,17395603469.223633
2023-02-27,8.029999732971191,2101389952.0,16874160753.428345
2023-02-28,7.840000152587891,2101389952.0,16474897544.32666
2023-03-01,7.690000057220459,2101389952.0,16159688851.122498
2023-03-02,7.96999979019165,2101389952.0,16748077476.550842
2023-03-03,8.329999923706055,2101389952.0,17504578139.83667
2023-03-06,8.279999732971191,2101389952.0,17399508241.428345
2023-03-07,8.279999732971191,2101389952.0,17399508241.428345
2023-03-08,8.130000114440918,2101389952.0,17084300550.244995
2023-03-09,7.690000057220459,2101389952.0,16159688851.122498
2023-03-10,7.349999904632568,2101389952.0,15445215946.795837
2023-03-13,7.869999885559082,2101389952.0,16537938681.755005
2023-03-14,7.889999866485596,2101389952.0,16579966440.714172
2023-03-15,7.900000095367432,2101389952.0,16600980821.204163
2023-03-16,7.980000019073486,2101389952.0,16769091857.040833
2023-03-17,7.880000114440918,2101389952.0,16558953062.244995
2023-03-20,8.079999923706055,2128050048.0,17194644225.482666
2023-03-21,8.449999809265137,2128050048.0,17982022499.706665
2023-03-22,8.210000038146973,2101389952.0,17252411586.081665
2023-03-23,8.329999923706055,2101389952.0,17504578139.83667
2023-03-24,8.199999809265137,2071120000.0,16983183604.96521
2023-03-27,8.039999961853027,2101389952.0,16895175133.918335
2023-03-28,8.0,2101389952.0,16811119616.0
2023-03-29,8.220000267028809,2101389952.0,17273425966.571655
2023-03-30,8.149999618530273,2159180032.0,17597316437.138184
2023-03-31,8.449999809265137,2159180032.0,18245070858.56909
2023-04-03,8.380000114440918,2101389952.0,17609648038.244995
2023-04-04,8.350000381469727,2118940032.0,17693150075.511475
2023-04-05,7.980000019073486,2118940032.0,16909141495.775574
2023-04-06,8.09000015258789,2198820096.0,17788454912.15332
2023-04-10,8.390000343322754,2101389952.0,17630662418.734985
2023-04-11,8.609999656677246,2101389952.0,18092966765.265015
2023-04-12,8.329999923706055,2101389952.0,17504578139.83667
2023-04-13,8.579999923706055,2101389952.0,18029925627.83667
2023-04-14,8.8100004196167,2101389952.0,18513246358.898315
2023-04-17,8.800000190734863,2101389952.0,18492231978.408325
2023-04-18,8.729999542236328,2101389952.0,18345133319.02002
2023-04-19,8.489999771118164,2101389952.0,17840800211.51001
2023-04-20,8.149999618530273,2101389952.0,17126327307.18335
2023-04-21,8.180000305175781,2017229952.0,16500941622.969727
2023-04-24,8.100000381469727,2101389952.0,17021259412.81665
2023-04-25,7.739999771118164,2101389952.0,16264757747.51001
2023-04-26,7.739999771118164,2101389952.0,16264757747.51001
2023-04-27,7.820000171661377,2117970048.0,16562526138.933655
2023-04-28,7.75,2117970048.0,16414267872.0
2023-05-01,7.78000020980835,2117970048.0,16477807417.8078
2023-05-02,7.590000152587891,2117970048.0,16075392987.496582
2023-05-03,7.559999942779541,2117970048.0,16011853441.688782
2023-05-04,7.380000114440918,2126380032.0,15692684879.504883
2023-05-05,7.409999847412109,2117970048.0,15694157732.503418
2023-05-08,7.739999771118164,2117970048.0,16393087686.755127
2023-05-09,9.550000190734863,2117970048.0,20226614362.370728
2023-05-10,9.9399995803833,2117970048.0,21052621388.3844
2023-05-11,9.880000114440918,2034870016.0,20104515990.952393
2023-05-12,9.5,2047229952.0,19448684544.0
2023-05-15,9.520000457763672,2216560128.0,21101653433.220703
2023-05-16,9.470000267028809,2216560128.0,20990825004.04541
2023-05-17,10.25,2118439936.0,21714009344.0
2023-05-18,11.739999771118164,2118439936.0,24870484363.76758
2023-05-19,11.710000038146973,2118439936.0,24806931731.37207
2023-05-22,11.84000015258789,2118439936.0,25082329165.48828
2023-05-23,12.640000343322754,2118439936.0,26777081518.348633
2023-05-24,12.229999542236328,2118439936.0,25908519447.535156
2023-05-25,12.84000015258789,2118439936.0,27200769101.48828
2023-05-26,13.649999618530273,2118439936.0,28916704318.279297
2023-05-30,14.710000038146973,2118439936.0,31162251539.37207
2023-05-31,14.710000038146973,2118439936.0,31162251539.37207
2023-06-01,14.539999961853027,2118439936.0,30802116588.62793
2023-06-02,14.520000457763672,2118439936.0,30759748840.464844
2023-06-05,15.239999771118164,2118439936.0,32285024139.76758
2023-06-06,15.460000038146973,2118439936.0,32751081491.37207
2023-06-07,14.6899995803833,2118439936.0,31119881770.907227
2023-06-08,15.1899995803833,2118439936.0,32179101738.907227
2023-06-09,15.020000457763672,2156100096.0,32384624428.904297
2023-06-12,15.649999618530273,2118439936.0,33153584190.279297
